Sitename Sitenum Atlantic Current longitude latitude ShellBreadth ShellHeight Columella ApertureWidth ApertureLength Proportionality Circularity Spireheight N.Telochonc.Whorls N.Protochonch.Whorls Whorl.First.Primary N.Primary.Whorls Whorl.Axial.Striae Whorl.Secondary.Groove Regularity.Secondary.Groove Whorl.Tertiary.Groove Whorl.Spiral.Striae Columella.Color Columella.Morphology
Belize 17 West Caribbean 88 17 15.1 21.2 1.6 8.6 11.1 1.40 0.77 1.91 7 0 2 4 1 4 0 7 7 0 0
Belize 17 West Caribbean 88 17 15.5 22.5 1.7 8.7 11.4 1.45 0.76 1.97 8 0 3 2 3 5 0 7 6 0 0
Belize 17 West Caribbean 88 17 12.7 17.7 1.3 7.4 9.7 1.39 0.76 1.82 6 0 1 2 1 3 0 6 3 0 0
Belize 17 West Caribbean 88 17 11.5 16.2 1.2 6.6 8.7 1.41 0.76 1.86 7 0 2 2 2 4 0 7 5 0 0
Belize 17 West Caribbean 88 17 16.8 23 1.9 9.3 12.4 1.37 0.75 1.85 7 0 2 3 3 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 15 20.7 1.5 8.8 11.1 1.38 0.79 1.86 7 0 3 7 1 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 12.6 17.5 1.5 7.1 9.5 1.39 0.75 1.84 6 0 1 4 1 4 0 6 4 0 0
Belize 17 West Caribbean 88 17 8.6 11.9 0.9 5.1 6.7 1.38 0.76 1.78 7 0 2 2 2 3 0 7 3 0 0
Belize 17 West Caribbean 88 17 9.4 11.9 1 5.2 7.2 1.27 0.72 1.65 6 3 2 5 1 5 0 7 4 1 0
Belize 17 West Caribbean 88 17 16.9 23.9 2 9.3 12.9 1.41 0.72 1.85 8 0 2 2 1 5 0 6 0 0 0
Belize 17 West Caribbean 88 17 14.5 19.8 1.8 8.2 10.8 1.37 0.76 1.83 8 0 2 2 2 5 0 8 5 1 0
Belize 17 West Caribbean 88 17 15.7 20.1 1.9 9.7 12 1.28 0.81 1.68 6 0 1 6 1 4 0 6 6 1 0
Belize 17 West Caribbean 88 17 13.6 18.7 1.3 7.4 10.1 1.38 0.73 1.85 7 0 1 2 1 4 0 7 3 0 0
Belize 17 West Caribbean 88 17 13 17.8 1.3 7 9.6 1.37 0.73 1.85 7 2 2 4 2 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 15.2 20.4 1.8 8.5 11 1.34 0.77 1.85 7 0 2 4 2 4 0 7 5 0 0
Belize 17 West Caribbean 88 17 11.3 15.1 1 6.4 8.5 1.34 0.75 1.78 7 0 2 3 1 6 1 7 6 0 0
Belize 17 West Caribbean 88 17 12.9 17.6 1.3 7.4 10 1.36 0.74 1.76 7 0 1 2 1 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 11.5 16.3 1.5 6.8 8.8 1.42 0.77 1.85 7 0 1 2 1 4 0 7 6 0 0
Belize 17 West Caribbean 88 17 13 16.5 1.3 7.4 9.4 1.27 0.79 1.76 7 0 2 2 2 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 14.6 21.1 1.7 8 10.9 1.45 0.73 1.94 8 0 1 3 2 5 0 8 5 0 0
Belize 17 West Caribbean 88 17 12.9 17 1.4 7.8 10.1 1.32 0.77 1.68 7 0 1 2 1 5 0 7 4 0 0
Belize 17 West Caribbean 88 17 14 19.2 1.8 7.9 10.5 1.37 0.75 1.83 7 0 2 4 2 5 0 7 4 0 0
Belize 17 West Caribbean 88 17 15.6 22.3 2 9.3 12.2 1.43 0.76 1.83 8 0 2 2 1 4 0 7 6 0 0
Belize 17 West Caribbean 88 17 15.1 20.9 1.8 8.4 11.1 1.38 0.76 1.88 7 0 2 2 2 4 0 7 4 0 0
Belize 17 West Caribbean 88 17 9.8 13.2 0.8 5.9 7.8 1.35 0.76 1.69 6 2 1 4 1 4 0 6 4 0 0
Belize 17 West Caribbean 88 17 14.1 19.9 1.4 7.7 10.8 1.41 0.71 1.84 7 0 1 3 1 5 0 7 4 0 0
Belize 17 West Caribbean 88 17 15.8 22.2 1.8 8.7 11.6 1.41 0.75 1.91 8 0 3 4 3 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 15.2 22 2.2 8.9 11.8 1.45 0.75 1.86 7 0 2 4 2 4 0 0 4 0 0
Belize 17 West Caribbean 88 17 15.6 21.6 2.2 9.1 11.3 1.38 0.81 1.91 7 0 2 3 2 4 0 6 6 0 0
Belize 17 West Caribbean 88 17 15 20.6 1.5 8.4 11.5 1.37 0.73 1.79 7 0 1 2 1 5 1 7 5 0 0
Belize 17 West Caribbean 88 17 14.1 21 1.6 8.3 11 1.49 0.75 1.91 7 0 2 2 2 4 1 7 7 0 0
Belize 17 West Caribbean 88 17 16.5 22 2.1 9.9 12.1 1.33 0.82 1.82 7 0 2 3 1 4 0 7 6 1 0
Belize 17 West Caribbean 88 17 15.5 21.5 1.8 8.7 11.7 1.39 0.74 1.84 7 0 2 2 1 5 1 7 6 0 0
Belize 17 West Caribbean 88 17 16.3 22.5 1.9 9.1 12 1.38 0.76 1.88 7 0 2 2 3 4 0 7 5 0 0
Belize 17 West Caribbean 88 17 14.4 19.2 1.6 8.3 10.8 1.33 0.77 1.78 7 0 2 2 1 3 0 7 5 0 0
Belize 17 West Caribbean 88 17 13 18.9 1.6 7.4 9.9 1.45 0.75 1.91 7 0 3 3 1 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 13.4 19.7 1.8 7.8 10.3 1.47 0.76 1.91 7 0 2 4 2 4 0 7 0 0 0
Belize 17 West Caribbean 88 17 14.7 20.2 1.8 8.4 10.7 1.37 0.79 1.89 7 2 1 2 1 3 0 6 5 0 0
Belize 17 West Caribbean 88 17 14.9 20.9 2 8.5 11.3 1.40 0.75 1.85 7 0 2 4 1 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 14.7 21.4 2 8.8 11 1.46 0.80 1.95 7 0 3 6 1 5 0 0 7 0 0
Belize 17 West Caribbean 88 17 15.5 22.4 1.4 8.9 11.6 1.45 0.77 1.93 7 0 2 3 1 5 0 7 6 1 0
Belize 17 West Caribbean 88 17 13.4 18.8 1.6 7.5 10.1 1.40 0.74 1.86 7 0 2 2 1 5 1 7 6 0 0
Belize 17 West Caribbean 88 17 14.4 20.8 1.7 8.2 11.4 1.44 0.72 1.82 7 0 2 2 2 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 13.8 20.9 1.7 8.3 11.4 1.51 0.73 1.83 7 0 2 4 1 4 0 6 6 0 0
Belize 17 West Caribbean 88 17 16 21.5 1.5 8.8 11.5 1.34 0.77 1.87 7 0 2 5 2 3 0 6 5 0 0
Belize 17 West Caribbean 88 17 15.2 21.9 2 9 11.6 1.44 0.78 1.89 7 0 2 2 1 4 0 7 6 0 0
