trapping_code,weight_animal,hind_foot,ear,tail,date_year,sampling_site,location,success,islandsize,distance,predation
MI_01436,18,15,18.3,76,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01231,23.5,20,NA,85,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01500,21.5,20.3,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01328,17,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01476,23,19.6,14.4,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
PI_00930,27,21.8,14.7,83,2021,Portland Island,island,0.01741970604246055,1408095,3743,2
PI_00931,26,22.4,NA,NA,2021,Portland Island,island,0.01741970604246055,1408095,3743,2
PI_00944,26,20,16.8,NA,2021,Portland Island,island,0.01741970604246055,1408095,3743,2
ST_01204,16,19,12.4,81,2022,Saltspring Island,island,0.006826456310679605,185492869,585,12
SR_01210,23,18.7,13,82,2022,Saltspring Island,island,0.006826456310679605,185492869,585,12
SR_01211,18,19.7,13,NA,2022,Saltspring Island,island,0.006826456310679605,185492869,585,12
ST_01208,17,18.7,13.4,89,2022,Saltspring Island,island,0.006826456310679605,185492869,585,12
SU_01214,28,19.6,16.9,89,2022,Saturna Island,island,0.002364811603342268,32247990,17589,8
SN_00817,NA,19.6,15.2,72,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00867,28,21,14.7,82,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00874,26,20,14,71,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SS_00902,24,20,16,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00872,25,20,14,70,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00821,22,21.4,15,72,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00802,22,20.7,14.2,70,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00875,24,20,15.8,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00856,23,21.3,13.3,80,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SS_00908,25,20.5,15.7,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00809,24.5,22.2,15.4,75,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00803,23.5,20.7,13,74,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00870,24,20.6,16,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SS_00901,30,21,14.7,82,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00827,17,20,13,67,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00800,26.5,20,15.2,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00864,20,20,16,72,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00876,23,20.7,14.5,72,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00852,21.5,20.5,15,74,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00825,20.5,20.5,15.7,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00851,27,20.6,14.8,82,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00811,20,20.9,14.5,80,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00815,20,22.2,16.6,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SS_00903,23,19.7,15.4,76,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00823,24,22.4,14,NA,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00832,27,20,16.1,83,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00865,22,19.8,14,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00837,25,20.7,15,79,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00871,28,NA,NA,NA,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00866,21,21.5,15.4,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00829,21,21.4,14.7,79,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00814,21.5,21,15,78,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SC_00860,22,NA,NA,NA,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
SN_00816,22.5,20.2,13,76,2021,Sidney Island,island,0.028540435183627522,9030689,4335,8
VS_01414,19,20,15.7,87,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01407,18,21.5,13.6,NA,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VJ_01422,20.6,18.6,15,79,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01413,19,21.8,15.5,94,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01405,21,20.3,15.5,88,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VJ_01426,21,19.9,13.8,NA,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01409,21,20,14.9,79,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01408,20,22,17,90,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01418,18,21.8,13.6,84,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VJ_01419,20,19.4,14.4,80,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VJ_01421,18,20.2,15.7,84,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
VS_01403,21,21.3,12.7,86,2022,Vancouver,mainland,0.015247031227092814,NA,NA,31
CC_00624,20.5,19.9,15.2,88,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00637,19,20.1,13.9,80,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00615,19.5,19.4,15.3,74,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00629,18.5,19.4,17.3,67,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00602,21.5,20.7,15.3,83,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00622,20,18.8,14.7,81,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00614,17.5,18.5,15.1,88,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00603,23,20.9,15.1,NA,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00626,19,20.3,15,76,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00600,18,19.5,16.4,82,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00636,22,20,14.5,78,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
BL_00922,23,20.2,14.6,83,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00606,22.5,21.1,15.3,86,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00611,20.5,19.6,15.5,86,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
CC_00625,20,19.9,14.7,78,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
BL_00924,24,20,14.3,86,2021,Vancouver Island,mainland,0.03660231136818089,31285000000,NA,26
